Time	EMG	Muscle Force
18.921	0.656184	0.277683
18.922	1.14796	0.277683
18.923	1.19856	0.277683
18.924	0.641525	0.277683
18.925	-0.54404	0.277683
18.926	-2.19481	0.27806
18.927	-3.9951	0.27806
18.928	-5.41848	0.27806
18.929	7.28859	0.277683
18.93	13.7683	0.277683
18.931	-6.04461	0.277683
18.932	-4.69778	0.277683
18.933	-2.95472	0.277683
18.934	-1.15486	0.277683
18.935	0.389616	0.277683
18.936	1.45001	0.277683
18.937	1.92753	0.27806
18.938	1.74888	0.277683
18.939	1.0124	0.277683
18.94	-0.189795	0.277683
18.941	-1.68676	0.277683
18.942	-3.26398	0.277683
18.943	-4.67422	0.277683
18.944	3.71371	0.277683
18.945	8.08087	0.277683
18.946	-5.50005	0.277683
18.947	5.0394	0.277683
18.948	-3.43519	0.277683
18.949	-1.93817	0.277683
18.95	-0.633317	0.277683
18.951	0.242904	0.277683
18.952	0.60353	0.27806
18.953	0.528964	0.27806
18.954	0.225898	0.277683
18.955	-0.0690598	0.277683
18.956	-0.156561	0.277683
18.957	0.0861255	0.277683
18.958	0.624769	0.277683
18.959	1.31913	0.277683
18.96	1.97671	0.277683
18.961	-15.7535	0.277683
18.962	21.3606	0.277683
18.963	-13.7525	0.277683
18.964	3.979	0.277683
18.965	0.832388	0.277683
18.966	0.063588	0.277683
18.967	-0.497813	0.277683
18.968	-0.705854	0.277683
18.969	-0.510565	0.277683
18.97	-0.00105121	0.277683
18.971	0.618904	0.277683
18.972	1.09214	0.277683
18.973	1.13105	0.277683
18.974	0.564712	0.277683
18.975	-0.627377	0.277683
18.976	-2.2785	0.277683
18.977	-4.06941	0.277683
18.978	-4.21626	0.277683
18.979	6.82769	0.277683
18.98	13.1172	0.277683
18.981	-6.0159	0.277683
18.982	-4.64973	0.277683
18.983	-2.89365	0.277683
18.984	-1.08501	0.277683
